run_id,group_type,metric,min_group,min_mean,max_group,max_mean,absolute_gap
mpdd_avp_shuffled_personality_early_fusion,personality_openness_bin,Prediction Bias,high,-0.32799999999999996,mid,0.0,0.32799999999999996
mpdd_demographics_shuffled_age_severity_logistic,true_severity,Ordinal MAE,1,0.728,0,1.0538461538461539,0.3258461538461539
mpdd_av_severity_early_fusion,personality_neuroticism_bin,Ordinal MAE,unknown,0.48372093023255813,high,0.8095238095238095,0.3258028792912514
mpdd_avp_severity_early_fusion_phase3,personality_neuroticism_bin,Ordinal MAE,unknown,0.48372093023255813,high,0.8095238095238095,0.3258028792912514
mpdd_personality_counterfactual_age_swap,true_severity,ECE,0,0.09731378691177771,2,0.42102563666635034,0.3237118497545726
mpdd_avp_shuffled_personality_early_fusion,personality_neuroticism_bin,Ordinal MAE,unknown,0.48372093023255813,high,0.8,0.3162790697674419
mpdd_personality_severity_tfidf_logistic_phase3,true_severity,Brier Score,0,0.5110909303510877,2,0.8238263560762782,0.31273542572519053
mpdd_personality_severity_tfidf_logistic_phase3,financial_stress_bin,ECE,mentioned_unclear,0.08302601897453377,moderate,0.39472851036047274,0.311702491385939
mpdd_av_severity_early_fusion,personality_conscientiousness_bin,Brier Score,unknown,0.5718436462257044,low,0.8817346674713249,0.3098910212456205
mpdd_avp_severity_early_fusion_phase3,personality_conscientiousness_bin,Brier Score,unknown,0.5723680766120018,low,0.881549144687787,0.30918106807578516
mpdd_avp_shuffled_personality_early_fusion,personality_conscientiousness_bin,Brier Score,unknown,0.5726208050659395,low,0.8815261440150332,0.30890533894909367
mpdd_avp_severity_early_fusion_phase3,personality_extraversion_bin,Brier Score,high,0.5935800004980823,low,0.9017990419521054,0.308219041454023
mpdd_avp_shuffled_personality_early_fusion,personality_extraversion_bin,Brier Score,high,0.5931231549601674,low,0.901209920501719,0.30808676554155157
mpdd_av_severity_early_fusion,personality_extraversion_bin,Brier Score,high,0.5940098461538477,low,0.9015376573624636,0.30752781120861594
mpdd_personality_counterfactual_age_swap,financial_stress_bin,Ordinal MAE,mild_or_low,0.7000000000000001,moderate,1.0,0.29999999999999993
mpdd_demographics_age_severity_logistic,personality_agreeableness_bin,Ordinal MAE,low,0.48,unknown,0.7737704918032786,0.29377049180327863
