run_id,dataset,modality,task,model,seed,task_type,metric,value,ci95_low,ci95_high,sample_count
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,2,ordinal_prediction,Brier Score,0.8035583618307374,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,3,ordinal_prediction,QWK,0.05019438777474117,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,3,ordinal_prediction,Ordinal MAE,0.5771428571428572,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,3,ordinal_prediction,Macro-F1,0.3956357279563572,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,3,ordinal_prediction,ECE,0.3354670860373926,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,3,ordinal_prediction,Brier Score,0.7992333901569921,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,4,ordinal_prediction,QWK,0.19331235823516502,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,4,ordinal_prediction,Ordinal MAE,0.5485714285714286,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,4,ordinal_prediction,Macro-F1,0.4135746041535881,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,4,ordinal_prediction,ECE,0.3396258005290324,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,4,ordinal_prediction,Brier Score,0.7714068698702327,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,0,ordinal_prediction,QWK,0.10656020882115846,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,0,ordinal_prediction,Ordinal MAE,0.5657142857142857,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,0,ordinal_prediction,Macro-F1,0.39022626434875973,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,0,ordinal_prediction,ECE,0.220703535785915,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,0,ordinal_prediction,Brier Score,0.6612634939972061,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,1,ordinal_prediction,QWK,0.04327090845643844,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,1,ordinal_prediction,Ordinal MAE,0.5885714285714285,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,1,ordinal_prediction,Macro-F1,0.34757222585118214,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,1,ordinal_prediction,ECE,0.24112936233328264,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,1,ordinal_prediction,Brier Score,0.6596546216203537,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,2,ordinal_prediction,QWK,0.04643131235610132,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,2,ordinal_prediction,Ordinal MAE,0.5714285714285714,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,2,ordinal_prediction,Macro-F1,0.3927790490719552,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,2,ordinal_prediction,ECE,0.23028046282764647,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,2,ordinal_prediction,Brier Score,0.6567853474987317,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,3,ordinal_prediction,QWK,0.04906965256051388,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,3,ordinal_prediction,Ordinal MAE,0.5714285714285714,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,3,ordinal_prediction,Macro-F1,0.3592458521870287,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,3,ordinal_prediction,ECE,0.22633099762169218,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,3,ordinal_prediction,Brier Score,0.690185189051738,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,4,ordinal_prediction,QWK,0.11771766965428931,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,4,ordinal_prediction,Ordinal MAE,0.56,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,4,ordinal_prediction,Macro-F1,0.37060842606433037,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,4,ordinal_prediction,ECE,0.24013136734600066,,,175
mpdd_avp_severity_gated_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Gated Fusion,4,ordinal_prediction,Brier Score,0.6862752549393041,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,0,ordinal_prediction,QWK,0.19065465273901605,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,0,ordinal_prediction,Ordinal MAE,0.5028571428571429,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,0,ordinal_prediction,Macro-F1,0.4008371747999788,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,0,ordinal_prediction,ECE,0.09432614996194368,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,0,ordinal_prediction,Brier Score,0.5815717328154308,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,1,ordinal_prediction,QWK,0.10756972111553798,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,1,ordinal_prediction,Ordinal MAE,0.5257142857142857,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,1,ordinal_prediction,Macro-F1,0.4060558301693053,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,1,ordinal_prediction,ECE,0.10729742482199343,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,1,ordinal_prediction,Brier Score,0.5781567601141904,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,2,ordinal_prediction,QWK,0.06417112299465244,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,2,ordinal_prediction,Ordinal MAE,0.5485714285714286,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,2,ordinal_prediction,Macro-F1,0.3996003996003996,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,2,ordinal_prediction,ECE,0.07979709708324784,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,2,ordinal_prediction,Brier Score,0.5777593073835552,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,3,ordinal_prediction,QWK,0.11855305332389798,,,175
mpdd_avp_severity_late_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Late Fusion,3,ordinal_prediction,Ordinal MAE,0.52,,,175
